STATE,STCODE,YEAR,TOTINC,TOTINJ,TOTKLD,VEHAUTO,VEHOTHER,VEHPED,VEHTRUCK,EQFREIGHT,EQOTHER,EQPSGR,EQYDMAINT
DE,10,2017,2,0,0,1,0,0,1,2,0,0,0
DE,10,2018,4,2,1,3,0,0,1,2,2,0,0
DE,10,2019,5,3,0,4,0,0,1,5,0,0,0
DE,10,2020,3,1,0,2,1,0,0,3,0,0,0
FL,12,2016,80,54,16,37,4,15,24,39,3,35,3
FL,12,2017,92,55,24,50,6,15,21,47,2,40,3
FL,12,2018,93,34,15,46,9,18,20,37,1,51,4
FL,12,2019,124,59,26,76,11,19,18,39,1,82,2
FL,12,2020,77,9,20,51,5,15,6,37,2,34,4
GA,13,2016,87,24,6,44,5,2,36,73,7,3,4
GA,13,2017,95,38,4,45,5,4,41,85,4,0,6
GA,13,2018,102,38,11,53,5,1,43,91,4,2,5
GA,13,2019,93,34,9,48,9,5,31,79,4,2,8
GA,13,2020,91,29,10,43,9,3,36,84,3,1,3
HI,15,2016,0,0,0,0,0,0,0,0,0,0,0
HI,15,2017,0,0,0,0,0,0,0,0,0,0,0
HI,15,2018,0,0,0,0,0,0,0,0,0,0,0
HI,15,2019,0,0,0,0,0,0,0,0,0,0,0
HI,15,2020,0,0,0,0,0,0,0,0,0,0,0
ID,16,2016,18,9,0,10,0,0,8,17,1,0,0
ID,16,2017,13,7,3,6,1,0,6,13,0,0,0
ID,16,2018,11,1,2,4,0,0,7,11,0,0,0
ID,16,2019,12,2,2,6,0,0,6,6,3,1,2
ID,16,2020,24,8,1,5,2,0,17,21,1,0,2
IL,17,2016,101,51,25,59,8,19,15,61,3,35,2
IL,17,2017,92,29,29,50,9,18,15,51,1,35,5
IL,17,2018,86,33,20,38,4,19,25,54,1,27,4
IL,17,2019,100,28,23,54,7,18,21,63,2,30,5
IL,17,2020,75,26,16,45,5,12,13,52,3,16,4
IN,18,2016,111,37,12,60,16,10,25,94,4,7,6
IN,18,2017,95,46,16,58,18,5,14,83,2,8,2
IN,18,2018,139,54,17,77,12,10,40,113,7,14,5
IN,18,2019,109,46,10,58,12,8,31,98,2,7,2
IN,18,2020,85,29,9,46,11,7,21,76,4,2,3
IA,19,2016,35,16,3,13,6,1,15,29,1,1,4
IA,19,2017,39,24,4,19,8,0,12,35,2,0,2
IA,19,2018,33,8,6,8,8,2,15,26,4,1,2
IA,19,2019,51,5,4,22,8,0,21,43,4,0,4
IA,19,2020,30,9,0,12,6,0,12,27,3,0,0
KS,20,2016,36,18,4,11,3,3,19,31,2,1,2
KS,20,2017,32,14,5,15,3,0,14,29,1,1,1
KS,20,2018,30,16,5,12,3,1,14,30,0,0,0
KS,20,2019,28,7,6,16,5,2,5,23,0,3,2
KS,20,2020,34,14,10,8,6,4,16,31,2,0,1
KY,21,2016,47,17,2,24,4,1,18,41,3,1,2
KY,21,2017,42,28,3,18,6,2,16,34,4,2,2
KY,21,2018,42,13,2,25,7,0,10,35,1,0,6
KY,21,2019,37,7,4,19,6,2,10,32,1,0,4
KY,21,2020,28,7,2,15,1,1,11,23,1,0,4
LA,22,2016,78,49,10,28,10,1,39,57,1,6,14
LA,22,2017,69,31,6,29,6,3,31,56,2,4,7
LA,22,2018,78,35,7,34,3,5,36,61,6,5,6
LA,22,2019,80,34,5,33,5,2,40,70,0,5,5
LA,22,2020,68,60,1,37,3,2,26,52,5,6,5
ME,23,2016,1,1,0,0,0,1,0,0,0,1,0
ME,23,2017,3,1,0,1,0,0,2,1,0,2,0
ME,23,2018,3,0,0,2,0,0,1,2,1,0,0
ME,23,2019,1,0,0,0,0,0,1,0,0,1,0
ME,23,2020,5,0,1,2,1,1,1,4,0,1,0
